SHIP_ID,SHIPNAME,LENGTH,SHIPTYPE,WIDTH,FLAG,ship_type,LAT,LON,SPEED,COURSE,HEADING,DESTINATION,DWT,DATETIME,PORT,date,week_nb,port,is_parked,fromLAT,fromLON,fromTIME,DIST,delta_tau,lastLAT,lastLON
126010,CRESTWAY,97,3,21,CY,Tug,54.37538,18.65899,0,35,164,GDANSK VIA NOK,8180,2016-12-20T11:11:02Z,gdansk,2016-12-20,51,Gdańsk,1,54.37538,18.65899,2016-12-20T11:09:02Z,0,120,54.37538,18.65899
130867,SELENE PRAHM,75,7,11,DE,Cargo,54.79817,18.57817,92,299,300,BUSUM DE BUM,2422,2016-12-15T07:41:07Z,gdynia,2016-12-15,50,Gdynia,0,54.79534,18.58733,2016-12-15T07:39:08Z,668.086,119,54.79817,18.57817
132427,PHOENIX II,118,7,17,PT,Cargo,54.6967,20.43971,55,52,50,GDANSK,6862,2016-12-20T03:35:02Z,kalingrad,2016-12-20,51,Kalingrad,0,54.69548,20.43691,2016-12-20T03:33:02Z,225.913,120,54.6967,20.43971
132925,CONTAINERSHIPS 6,154,7,22,DE,Cargo,55.64583,21.16083,0,321,325,LTKLJ,13520,2016-12-14T02:29:06Z,klaipeda,2016-12-14,50,Klaipeda,1,55.64583,21.16083,2016-12-14T02:27:06Z,0,120,55.64583,21.16083
134088,SEALING,178,8,28,DE,Tanker,55.73985,20.80001,125,273,273,LE HAVRE,32428,2016-12-18T22:05:06Z,klaipeda,2016-12-18,51,Klaipeda,0,55.73952,20.80802,2016-12-18T22:03:07Z,504.46,119,55.73985,20.80001
142957,PATRICIA ESSBERGER,99,8,15,PT,Tanker,54.67395,19.80675,134,305,305,ROTTERDAM,4711,2016-12-15T12:35:03Z,kalingrad,2016-12-15,50,Kalingrad,0,54.66846,19.81997,2016-12-15T12:33:03Z,1049.253,120,54.67395,19.80675
144106,NORDIC PHILIP,151,7,23,CY,Cargo,54.70414,20.45655,0,348,79,KALINIGRAD VIA NOK,13031,2016-12-20T11:01:03Z,kalingrad,2016-12-20,51,Kalingrad,1,54.70414,20.45655,2016-12-20T10:59:03Z,0,120,54.70414,20.45655
144450,BALTIC AMBITION,182,8,27,CY,Tanker,59.92174,30.0003,98,292,292,SKAW,37343,2016-12-19T17:49:04Z,st_petersburg,2016-12-19,51,St. Petersburg,0,59.92174,30.0003,2016-12-19T17:47:13Z,0,111,59.92174,30.0003
144628,ARK FORWARDER,185,7,25,GB,Cargo,57.61276,11.60056,104,284,278,ZEEBRUGGE,12350,2016-12-17T14:57:04Z,gothenborg,2016-12-17,51,gothenborg,0,57.61179,11.60684,2016-12-17T14:55:05Z,390.596,119,57.61276,11.60056
145002,CEMSOL,96,7,13,CY,Cargo,55.86333,20.80457,106,320,321,HAMINA,4529,2016-12-18T15:53:06Z,klaipeda,2016-12-18,51,Klaipeda,0,55.85699,20.81403,2016-12-18T15:51:06Z,921.509,120,55.86333,20.80457
145203,VITIM,184,7,25,CY,Cargo,54.3865,18.71267,0,239,325,PLGDN,22749,2016-12-20T11:11:02Z,gdansk,2016-12-20,51,Gdańsk,1,54.38643,18.71259,2016-12-20T11:09:02Z,9.366,120,54.3865,18.71267
145641,RUTH,134,7,22,CY,Cargo,59.8932,30.22755,0,33,33,ST.PETERSBURG,11253,2016-12-20T11:11:04Z,st_petersburg,2016-12-20,51,St. Petersburg,1,59.8932,30.22755,2016-12-20T11:11:03Z,0,1,59.8932,30.22755
145692,HANNA,134,7,22,CY,Cargo,57.68833,11.85617,0,74,270,AARHUS,11408,2016-12-20T11:11:05Z,gothenborg,2016-12-20,51,gothenborg,1,57.68833,11.85617,2016-12-20T10:59:07Z,0,718,57.68833,11.85617
145926,NAVI BALTIC,168,7,27,CY,Cargo,55.73296,20.81096,161,267,269,BREMERHAVEN VIA NOK,17894,2016-12-17T01:59:06Z,klaipeda,2016-12-17,51,Klaipeda,0,55.73318,20.81902,2016-12-17T01:57:06Z,506.938,120,55.73296,20.81096
145981,BF FORTALEZA,121,7,18,CY,Cargo,59.87077,30.20812,0,177,119,ST PETERBURG,7202,2016-12-20T11:11:04Z,st_petersburg,2016-12-20,51,St. Petersburg,1,59.87077,30.20812,2016-12-20T11:11:03Z,0,1,59.87077,30.20812
146036,MAUREEN S,87,7,11,CY,Cargo,55.73548,20.8045,85,266,265,SE LAA,3357,2016-12-19T06:07:06Z,klaipeda,2016-12-19,51,Klaipeda,0,55.73588,20.81484,2016-12-19T06:05:05Z,651.062,121,55.73548,20.8045
146069,SPANACO FIDELITY,89,7,15,AG,Cargo,55.77842,20.80602,57,308,301,VENTSPILS,4193,2016-12-20T01:05:06Z,klaipeda,2016-12-20,51,Klaipeda,0,55.77508,20.81516,2016-12-20T01:03:06Z,683.556,120,55.77842,20.80602
146097,WILHELM,134,7,22,CY,Cargo,59.8929,30.22705,0,35,35,ROTTERDAM,5215,2016-12-14T02:29:04Z,st_petersburg,2016-12-14,50,St. Petersburg,1,59.8929,30.22705,2016-12-14T02:29:03Z,0,1,59.8929,30.22705
146140,WILSON SUND,112,7,15,CY,Cargo,54.698,20.45283,1,25,511,KALININGRAD,6274,2016-12-19T10:11:03Z,kalingrad,2016-12-19,51,Kalingrad,1,54.698,20.45283,2016-12-19T10:09:02Z,0,121,54.698,20.45283
146336,BELBEK,98,7,16,CY,Cargo,59.92099,30.00478,108,292,292,SKAGEN FOR ORDERS,4225,2016-12-15T10:09:05Z,st_petersburg,2016-12-15,50,St. Petersburg,0,59.92099,30.00478,2016-12-15T10:09:03Z,0,2,59.92099,30.00478
148345,TEKOS,99,8,12,RU,Tanker,59.88139,30.22918,0,0,511,ST.PETERSPURG,4237,2016-12-20T11:11:04Z,st_petersburg,2016-12-20,51,St. Petersburg,1,59.88137,30.22918,2016-12-20T11:11:03Z,2.228,1,59.88139,30.22918
148995,BALTICA,157,7,25,FI,Cargo,57.60196,11.66059,100,194,196,KEMI,13772,2016-12-19T14:59:06Z,gothenborg,2016-12-19,51,gothenborg,0,57.60555,11.66234,2016-12-19T14:57:05Z,413.283,121,57.60196,11.66059
149302,SEAEMPRESS,182,8,27,MT,Tanker,57.60306,11.65362,77,173,176,"LAVRION,GREECE",39443,2016-12-17T04:35:05Z,gothenborg,2016-12-17,51,gothenborg,0,57.60557,11.65347,2016-12-17T04:33:05Z,279.684,120,57.60306,11.65362
149310,MURRAY STAR,128,8,20,MT,Tanker,54.46103,18.99995,132,25,26,AMSTERDAM,13019,2016-12-18T13:41:02Z,gdansk,2016-12-18,51,Gdańsk,0,54.45222,18.99265,2016-12-18T13:39:02Z,1088.977,120,54.46103,18.99995
